C1946	%Cons	Abs1	Unit1	Abs2	Unit2	Abs3	Unit3	Desc.
821600	50	10	%	0	0	0	0	Oleic Acid
8231400	25	1	ct/lb	0	0	0	0	Fusel oil
2260280	50	12.5	%	0	0	0	0	Fatty alcohol
8130930	50	7.5	%	0	0	0	0	Haarlem oil
8243600	33	5	%	0	0	0	0	Amonium silicofluoride
8380940	0	0	%	0	0	0	0	Laundry sour
8380140	50	0.1	ct/lb	0	0	0	0	Aluminium sulfate 1
8380150	50	0.1	ct/lb	0	0	0	0	Aluminium sulfate 2
8240000	50	8-May	ct/lb	0	0	0	0	Amonium chloride
8241000	50	0.5	ct/lb	0	0	0	0	Amonium nitrate
8402500	50	0.1	ct /lb	0	0	0	0	Whiting
8402600	50	0.25	ct/lb	0	0	0	0	Whiting ground
8140700	50	7.5	%	0	0	0	0	Haarlem oil doses
8380500	0	0	0	0	0	0	0	Flavouring extracts with alcohol
8040680	50	1.75	ct/lb	10	%	0	0	Naphthalene
8089200	50	3.5	ct/lb	22.5	%	0	0	Saccharin
8380340	0	0	0	0	0	0	0	Cobalt lineleate
8380350	0	0	0	0	0	0	0	Cobalt sulfate
8380410	50	2	ct/lb	0	0	0	0	Amyl acetate
8380560	33	5	%	0	0	0	0	Flavouring extracts without alcohol
8380620	50	5.5	ct/lb	0	0	0	0	Hexamethylenotetramine
97300	10	2	%	0	ct/lb	0	0	Gelatine less 40ct/lb
97500	50	3.5	ct/lb	10	%	0	0	Gelatine less 80ct/lb
932100	50	4	ct/lb	12.5	%	0	0	Gelatine more 80ct/lb
2946000	50	1	ct/lb 	12.5	%	0	0	Vegetable glue less 40ct/lb
2946100	50	4	ct/lb	12.5	%	0	0	Vegetable Glue more than 40ct/lb
8291100	31	15-Jul	ct/lb	0	0	0	0	Refined glycerine
8380811M	20	5	%	0	0	0	0	Manganese compound: Borate
8380811S	50	12.5	%	0	0	0	0	Manganese compound: sulphate
821100	50	10	%	0	0	0	0	Animal fats
1422000	NA	3	ct/lb	10	%maxN	20	%maxN	Corn or maise oil
2260040	50	1	ct/lb	0	0	0	0	Poppy seed oil
1428200	33	1	ct/lb	0	0	0	0	Sesame oil
8420100	38	3	ct/lb	0	0	0	0	Blue pigments
8380380	44	20	%	0	0	0	0	Activated chars and carbons
8420170	25	0.625	ct/lb	0	0	0	0	Red load
8410000	42	8-May	ct/lb	0	0	0	0	Lithopone 1
8410100	50	8-Jul	ct/lb 	7.5	%	0	0	Lithopone 2
8411000	33	0.3	ct/lb	0	0	0	0	Zinc oxide
8330400	50	3.5	ct/lb	0	0	0	0	Potassium forricianide = red
8330500	25	1	ct/lb	0	0	0	0	Potassium forrocyanide = yellow
8340000	25	0.5	ct/lb	0	0	0	0	Sodium forrocyanide = yellow
8350400	50	4-Mar	ct/lb	0	0	0	0	Sodium silicoflurride
2812000	43	4-Mar	ct/lb	0	0	0	0	Potato starch
2815000	50	4-Mar	ct/lb	0	0	0	0	Corn starsh
2815100	33	0.5	ct/lb	0	0	0	0	Rice starsh
2815200	33	0.5	ct/lb	0	0	0	0	Wheat starsh
2815900	50	0.75	ct/lb	0	0	0	0	Other starsh
8380390	22	0.5	ct/lb	0	0	0	0	Potato Dextrine
8380400	38	0.75	ct/lb	0	0	0	0	Other dextrine
8380921	50	15	%	0	0	0	0	Titanium
8380933	NA	unreadable	0	0	0	0	0	Zinc chloride
5380530	NA	20	%min 	0	0	0	0	Ceramic mosaic tiles <40ct
5380540	50	30	%	0	0	0	0	Ceramic tiles>40ct
5720000	50	15/64	ct/lb	0	0	0	0	Magnosite crude
5722200	50	15/32	ct/lb	0	0	0	0	Magnisite: Ground caustique
5181000	60	0.0225	ct/lb	0	0	0	0	Cement: hydraulic
5181200	50	0.0225	ct/lb	0	0	0	0	Hydraulic cement clinker
5182000	50	0.03	ct/lb	0	0	0	0	White nonstaining cement
5420100	50	50	ct/ton	0	0	0	0	Sand >95% selica
6301000	50	50	ct/ton	0	0	0	0	Bauxite crude
5250400	NA	50	ct/u 	30	%minN	50	%maxN	Plated or cased glassware
5200400	30	27/64	ct/lb	0	0	0	0	Cylinder, crown and sheet glass (CCSG) 1
5200410	30	29/64	ct/lb	0	0	0	0	CCSG 2
5200420	30	35/64	ct/lb	0	0	0	0	CCSG 3
5200430	30	38/64	ct/lb	0	0	0	0	CCSG 4
5200450	30	33/64	ct/lb	0	0	0	0	CCSG 5
5200470	30	59/64	ct/lb	0	0	0	0	CCSG 6
5200490	30	54/64	ct/lb	0	0	0	0	CCSG 7
5200520	30	27/64	ct/lb	0	0	0	0	CCSG 8
5200530	30	29/64	ct/lb	0	0	0	0	CCSG 9
5200540	30	35/64	ct/lb	0	0	0	0	CCSG 10
5200550	30	38/64	ct/lb	0	0	0	0	CCSG 11
5200560	30	33/64	ct/lb	0	0	0	0	CCSG 12
5200570	30	59/64	ct/lb	0	0	0	0	CCSG 13
5200590	30	54/64	ct/lb	0	0	0	0	CCSG 14
5200660	30	27/64	ct/lb	0	0	0	0	CCSG 15
5200670	30	29/64	ct/lb	0	0	0	0	CCSG 16
5200680	30	35/64	ct/lb	0	0	0	0	CCSG 17
5200690	30	38/64	ct/lb	0	0	0	0	CCSG 18
5200700	30	33/64	ct/lb	0	0	0	0	CCSG 19
5200710	30	59/64	ct/lb	0	0	0	0	CCSG 20
5200720	30	54/64	ct/lb	0	0	0	0	CCSG 21
5200760	30	27/64	ct/lb	0	0	0	0	CCSG 22
5200770	30	29/64	ct/lb	0	0	0	0	CCSG 23
5200780	30	35/64	ct/lb	0	0	0	0	CCSG 24
5200790	30	38/64	ct/lb	0	0	0	0	CCSG 25
5200800	30	33/64	ct/lb	0	0	0	0	CCSG 26
5200810	30	59/64	ct/lb	0	0	0	0	CCSG 27
5200820	30	54/64	ct/lb	0	0	0	0	CCSG 28
5250000	50	22.5	%	0	0	0	0	Luminated Glass
5250100	50	22.5	%	0	0	0	0	Manufacture of luminated glass
5240400	50	0.75	ct/lb	0	0	0	0	Rolled glass
5220000	50	4.15	ct/sqf	0	0	0	0	Plate glass (PG)1
5220010	50	5.65	ct/sqf	0	0	0	0	PG 2
5220020	50	5.85	ct/sqf	0	0	0	0	PG3
5220030	50	6.6	ct/sqf	0	0	0	0	PG 4
5220100	50	4.15	ct/sqf	0	0	0	0	PG 5
5220110	50	5.65	ct/sqf	0	0	0	0	PG 6
5220120	50	5.85	ct/sqf	0	0	0	0	PG 7
5220130	50	6.6	ct/sqf	0	0	0	0	PG 8
5220200	50	5	ct/sqf	0	0	0	0	PG with wire netting (PGWN) 1
5220210	50	6.6	ct/sqf	0	0	0	0	PGWN 2
5220220	50	7.65	ct/sqf	0	0	0	0	PGWN 3
5240000	50	4.15	ct/sqf	0	0	0	0	CCSG not plate gass (CCSGNPG)1
5240010	50	5.65	ct/sqf	0	0	0	0	CCSGNPG 2
5240020	50	5.85	ct/sqf	0	0	0	0	CCSGNPG 3
5240030	50	6.6	ct/sqf	0	0	0	0	CCSGNPG 4
5240090	50	25	%min	0	0	0	0	CCSGNPG 5
5240100	50	4.15	ct/sqf	0	0	0	0	CCSGNPG 6
5240110	50	5.65	ct/sqf	0	0	0	0	CCSGNPG 7
5240120	50	5.85	ct/sqf	0	0	0	0	CCSGNPG 8
5240130	50	6.6	ct/sqf	0	0	0	0	CCSGNPG 9
5240180	50	25	%min	0	0	0	0	CCSGNPG 10
5240190	50	20	%min	0	0	0	0	CCSGNPG 11
5240300	50	5	ct/sqf	0	0	0	0	OTher CCSG (OCCSG) 1
5240310	50	6.6	ct/sqf	0	0	0	0	OCCSG 2
5240320	50	7.65	ct/sqf	0	0	0	0	OCCSG 3
5270800	50	25	%	0	0	0	0	Pressed glass building block
5290300	33	10	%	0	0	0	0	Circular glass tiles
5080100	50	50	ct/cuft	0	0	0	0	Black marble: dressed or sawed
5080300	50	32.5	ct/cuft	0	0	0	0	Black marble: rough
6003300	30	37.5	ct/ton	0	0	0	0	Pig Iron: no dutiable alloy
6003500	33	37.5	ct/ton	0	0	0	0	Pig iron: with dutiable alloy
6020100	50	0.125	ct/lb	0	0	0	0	unfinished iron 1
6020200	50	0.25	ct/lb	0	0	0	0	unfinished iron 2
